Date,Region,Sales_Rep,Product,Units_Sold,Unit_Price,Customer_Type,Revenue
2024-03-20,East,Rep_4,Widget A,26,119.72,Repeat,3112.72
2024-05-19,North,Rep_9,Widget A,35,77.52,New,2713.2
2024-05-24,West,Rep_9,Premium Pack,25,84.38,Repeat,2109.5
2024-11-05,North,Rep_6,Premium Pack,24,111.05,New,2665.2
2024-04-17,West,Rep_2,Widget B,13,22.66,New,294.58
2024-06-24,West,Rep_7,Widget B,7,53.51,Repeat,374.57
2024-04-14,North,Rep_1,Widget C,36,113.14,Repeat,4073.04
2024-12-17,South,Rep_7,Widget A,45,91.99,Repeat,4139.55
2024-11-20,East,Rep_1,Widget A,20,73.23,New,1464.6
2024-05-15,West,Rep_8,Widget C,1,148.8,New,148.8
2024-09-15,West,Rep_2,Premium Pack,8,141.81,Repeat,680.688
2024-09-07,North,Rep_6,Premium Pack,46,41.68,New,1917.28
2024-05-08,South,Rep_10,Widget C,16,176.94,New,2831.04
2024-01-27,East,Rep_7,Widget A,14,104.13,Repeat,1457.82
2024-02-17,South,Rep_10,Widget A,12,150.88,New,1810.56
2024-11-20,East,Rep_7,Premium Pack,23,118.9,New,2734.7
2024-08-04,West,Rep_7,Widget B,15,199.56,Repeat,2993.4
2024-05-21,West,Rep_5,Widget C,28,152.96,Repeat,4282.88
2024-01-23,North,Rep_2,Widget C,34,144.33,Repeat,4907.22
2024-01-02,North,Rep_7,Premium Pack,2,157.93,New,315.86
2024-06-19,South,Rep_1,Widget C,32,37.19,Repeat,1190.08
2024-03-07,South,Rep_6,Widget A,23,48.86,Repeat,1123.78
2024-11-22,East,Rep_3,Premium Pack,22,145.67,Repeat,3204.74
2024-05-14,North,Rep_10,Widget A,25,103.86,New,2596.5
2024-03-23,West,Rep_8,Widget B,22,153.38,Repeat,3374.36
2024-08-14,North,Rep_6,Widget C,22,29.55,Repeat,650.1
2024-10-09,South,Rep_2,Widget C,49,111.93,Repeat,5484.57
2024-12-27,North,Rep_7,Widget A,42,81.98,New,3443.16
2024-08-06,West,Rep_2,Premium Pack,6,96.83,Repeat,580.98
2024-10-14,North,Rep_4,Premium Pack,15,124.75,New,1871.25
2024-01-05,South,Rep_7,Widget C,43,105.43,Repeat,4533.49
2024-02-27,West,Rep_10,Widget A,37,112.57,New,4165.09
2024-02-08,East,Rep_7,Widget B,33,102.41,New,3379.53
2024-12-19,East,Rep_9,Widget A,8,87.7,New,701.6
2024-03-17,West,Rep_2,Premium Pack,44,156.66,Repeat,6893.04
2024-10-06,West,Rep_7,Widget C,44,12.32,New,325.248
2024-01-19,West,Rep_5,Widget C,5,123.7,Repeat,618.5
2024-07-08,South,Rep_6,Widget C,39,117.45,New,4580.55
2024-10-25,West,Rep_4,Widget B,4,146.07,Repeat,350.568
2024-10-09,South,Rep_6,Widget B,6,123.82,Repeat,742.92
2024-03-16,West,Rep_3,Premium Pack,45,167.09,Repeat,7519.05
2024-08-08,South,Rep_2,Widget A,32,192.22,New,6151.04
2024-03-06,South,Rep_9,Widget A,30,75.08,New,2252.4
2024-01-22,North,Rep_2,Widget A,47,53.2,New,2500.4
2024-06-06,East,Rep_9,Widget B,35,90.48,Repeat,3166.8
2024-07-05,West,Rep_9,Widget C,40,64.71,Repeat,2588.4
2024-01-21,East,Rep_4,Premium Pack,16,126.84,Repeat,2029.44
2024-07-02,East,Rep_6,Premium Pack,13,183.25,Repeat,2382.25
2024-04-17,North,Rep_6,Widget B,42,36.43,New,1530.06
2024-12-15,East,Rep_3,Widget B,30,29.15,New,874.5
2024-05-07,East,Rep_4,Widget C,19,58.64,New,1114.16
2024-12-07,West,Rep_2,Widget C,17,147.96,New,1509.192
2024-02-22,South,Rep_3,Widget B,19,122.66,Repeat,2330.54
2024-06-30,West,Rep_5,Premium Pack,28,29.42,Repeat,823.76
2024-10-13,West,Rep_4,Widget C,26,184.56,Repeat,2879.136
2024-07-27,East,Rep_3,Widget C,37,160.12,New,5924.44
2024-11-13,East,Rep_10,Premium Pack,26,14.37,New,373.62
2024-03-20,West,Rep_3,Widget C,23,133.76,New,3076.48
2024-05-01,West,Rep_2,Premium Pack,9,156.54,Repeat,1408.86
2024-03-24,East,Rep_3,Widget A,12,81.14,New,973.68
2024-03-31,South,Rep_8,Widget C,1,23.1,Repeat,23.1
2024-07-30,South,Rep_8,Widget C,1,24.69,Repeat,24.69
2024-01-13,West,Rep_10,Widget A,47,29.81,New,1401.07
2024-04-01,South,Rep_10,Premium Pack,34,169.68,Repeat,5769.12
2024-06-19,West,Rep_8,Widget C,32,183.03,Repeat,5856.96
2024-07-29,North,Rep_10,Widget A,48,33.33,Repeat,1599.84
2024-12-08,East,Rep_10,Premium Pack,25,54.82,New,1370.5
2024-05-07,West,Rep_6,Widget C,40,41.45,New,1658.0
2024-05-16,West,Rep_6,Widget B,45,45.4,New,2043.0
2024-03-22,West,Rep_3,Widget A,1,169.12,Repeat,169.12
2024-12-25,South,Rep_8,Premium Pack,16,73.11,New,1169.76
2024-02-25,West,Rep_2,Widget B,39,69.17,New,2697.63
2024-07-14,North,Rep_8,Premium Pack,5,53.21,Repeat,266.05
2024-01-20,South,Rep_8,Widget B,22,125.5,Repeat,2761.0
2024-08-28,East,Rep_5,Widget B,29,82.07,Repeat,2380.03
2024-04-23,North,Rep_5,Widget A,3,151.41,Repeat,454.23
2024-04-12,West,Rep_10,Widget A,12,49.06,New,588.72
2024-08-23,North,Rep_1,Widget B,26,159.68,New,4151.68
2024-06-28,West,Rep_6,Widget A,16,124.71,New,1995.36
2024-06-05,North,Rep_9,Premium Pack,37,31.71,Repeat,1173.27
2024-04-26,South,Rep_2,Widget C,22,88.76,Repeat,1952.72
2024-04-24,West,Rep_5,Premium Pack,29,174.07,Repeat,5048.03
2024-01-13,South,Rep_8,Widget B,14,185.36,Repeat,2595.04
2024-12-03,North,Rep_8,Premium Pack,28,98.48,Repeat,2757.44
2024-04-08,West,Rep_1,Widget B,5,101.36,New,506.8
2024-07-23,East,Rep_1,Premium Pack,47,184.51,Repeat,8671.97
2024-06-17,East,Rep_6,Premium Pack,49,121.54,Repeat,5955.46
2024-05-22,West,Rep_5,Widget A,30,16.24,New,487.2
2024-02-05,North,Rep_2,Widget B,46,183.42,Repeat,8437.32
2024-05-22,East,Rep_2,Widget B,5,57.16,New,285.8
2024-06-28,West,Rep_10,Widget C,12,119.75,Repeat,1437.0
2024-11-24,East,Rep_10,Premium Pack,16,41.45,New,663.2
2024-09-17,West,Rep_9,Premium Pack,26,16.44,New,256.464
2024-07-23,North,Rep_7,Widget C,26,69.18,Repeat,1798.68
2024-12-13,North,Rep_8,Widget B,48,158.29,New,7597.92
2024-10-01,South,Rep_10,Premium Pack,21,62.74,Repeat,1317.54
2024-06-18,East,Rep_9,Widget C,39,51.82,Repeat,2020.98
2024-01-15,South,Rep_1,Widget C,36,50.41,Repeat,1814.76
2024-02-29,North,Rep_8,Widget C,33,107.88,Repeat,3560.04
2024-05-13,West,Rep_10,Premium Pack,30,195.35,Repeat,5860.5
